no,name,rider_title,rider_title_eligibility,rider_title_basis,country,era,primary_archetype,secondary_archetype,ace_aptitude,support_aptitude,preferred_roles,specialist_role,aptitude_tags,credit_salary,sprint,acceleration,punch,cruise,climb,stamina,resistance,technique,bikeControl,pave,recovery,dailyRecovery,teamwork,ego,fighting,pave_best_result,pave_finishes,pave_top10s,pave_wins,pave_status,pave_basis,pave_source_url,rating_status,rating_basis,profile_url,world_road_gold,world_road_silver,world_road_bronze,world_itt_gold,world_itt_silver,world_itt_bronze,world_championship_basis,world_championship_source_url,current_team,birth_date,active_status,selection_basis,active_source_url
46,Daniel Martínez (cyclist),,,,コロンビア,現役,総合型,スプリンター,82,79,ロードキャプテン / スプリントトレイン / 平坦アシスト / 山岳アシスト / TT牽引 / ブレイクアウェイキラー / 超ロングスパート,,総合型 / スプリンター,9150,66,69,74,74,84,84,84,77,71,62,84,84,76,77,71,,,,,要実績照合,現役300名補充時の脚質暫定値。パリ〜ルーベ／ロンド個人成績の追加照合が必要,https://www.paris-roubaix.fr/en/history,能力・適性・Credit整合済,"公開プロフィール脚質「All-rounder」を反映。同一テンプレートを廃止し、脚質別基準値＋選手名固定のばらつきで初期能力を分散。主要実績の追加照合が必要。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Daniel_Mart%C3%ADnez_(cyclist),,,,,,,,,Red Bull–Bora–Hansgrohe,1996-04-25,現役確認済,2026 UCI WorldTeam名簿掲載,https://en.wikipedia.org/wiki/List_of_2026_UCI_WorldTeams_and_riders
47,Guillaume Martin,,対象外,,フランス,現役,クライマー,総合型,82,75,エース / 山岳賞ハンター / 山岳アシスト / 集団コントローラー,,登坂力 / 山岳耐久 / 逃げ屋,7200,57,69,71,68,80,76,73,67,68,50,77,77,72,69,75,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Guillaume%20Martin%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,,Groupama–FDJ United,1993-06-09,現役確認済,2026 UCI WorldTeam名簿掲載,https://en.wikipedia.org/wiki/List_of_2026_UCI_WorldTeams_and_riders
48,Giulio Pellizzari,,対象外,,イタリア,現役,クライマー,総合型,82,75,エース / 山岳賞ハンター / 山岳アシスト / 集団コントローラー,,登坂力 / 山岳耐久 / 若手総合,6700,57,70,71,67,78,74,72,67,68,50,77,77,72,69,72,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Giulio%20Pellizzari%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,,Red Bull–Bora–Hansgrohe,2003-11-21,現役確認済,2026 UCI WorldTeam名簿掲載,https://en.wikipedia.org/wiki/List_of_2026_UCI_WorldTeams_and_riders
49,Enric Mas,,対象外,,スペイン,現役,総合型,クライマー,82,75,エース / ロードキャプテン / 山岳アシスト,,総合安定 / 登坂力 / 日別回復,6600,58,69,73,70,76,74,73,68,68,50,81,80,70,75,68,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Enric%20Mas%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,,Movistar Team,1995-01-07,現役確認済,2026 UCI WorldTeam名簿掲載,https://en.wikipedia.org/wiki/List_of_2026_UCI_WorldTeams_and_riders
50,Hugo Houle,,,,カナダ,現役,総合型,スプリンター,81,77,山岳賞ハンター / スプリントトレイン / 平坦アシスト / 山岳アシスト / 山岳番手 / ブレイクアウェイキラー / ポジションキーパー,,総合型 / スプリンター,8250,70,70,72,71,82,84,77,73,72,62,79,84,73,83,72,,,,,要実績照合,現役300名補充時の脚質暫定値。パリ〜ルーベ／ロンド個人成績の追加照合が必要,https://www.paris-roubaix.fr/en/history,能力・適性・Credit整合済,"公開プロフィール脚質「All-rounder」を反映。同一テンプレートを廃止し、脚質別基準値＋選手名固定のばらつきで初期能力を分散。主要実績の追加照合が必要。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Hugo_Houle,,,,,,,,,Alpecin–Premier Tech,1990-09-27,現役確認済,2026 UCI WorldTeam名簿掲載,https://en.wikipedia.org/wiki/List_of_2026_UCI_WorldTeams_and_riders
51,Joshua Tarling,,対象外,,イギリス,現役,TT・ルーラー型,クラシック型,81,79,サブエース / TTスペシャリスト / 平坦アシスト / 平坦ペースメーカー / ブレイクアウェイキラー / ポジションキーパー,,TT適性 / 巡航力 / 若手,8050,69,68,67,83,69,73,73,80,70,69,69,70,79,67,67,41,1,0,0,結果照合済,最高41位 / 完走1回 / Top10 0回 / 優勝0回,https://bikeraceinfo.com/classics/paris-roubaix/pr2026.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Joshua%20Tarling%20cyclist,0,0,0,0,0,1,ロード 金0/銀0/銅0、ITT 金0/銀0/銅1,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results,Netcompany INEOS Cycling Team,2004-02-15,現役確認済,2026 UCI WorldTeam名簿掲載,https://en.wikipedia.org/wiki/List_of_2026_UCI_WorldTeams_and_riders
52,John Degenkolb,石畳の重戦車,"Credit 10,000以上","Credit 10,000／クラシック型／パンチャー／パリ〜ルーベ優勝1",ドイツ,現役,クラシック型,パンチャー,80,74,エース / 石畳護衛 / 横風要員 / 逃げ屋 / ブリッジャー / カウンターアタッカー,,バイクコントロール / 反復加速,9450,76,75,76,76,68,75,79,79,83,82,72,72,73,73,83,1,5,2,1,結果照合済,最高1位 / 完走5回 / Top10 2回 / 優勝1回,https://bikeraceinfo.com/classics/paris-roubaix/pr2015.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。手動調整: John Degenkolbのエース適性を80に設定。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=John%20Degenkolb%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,,Team Picnic–PostNL,1989-01-07,現役確認済,2026 UCI WorldTeam名簿掲載,https://en.wikipedia.org/wiki/List_of_2026_UCI_WorldTeams_and_riders
53,Florian Sénéchal,,,,フランス,現役,クラシック型,TT・ルーラー型,80,81,平坦アシスト / 平坦ペースメーカー / TT牽引 / 石畳護衛 / 集団コントローラー / 横風要員 / 逃げ屋,,クラシック型 / TT・ルーラー型,8900,77,78,77,81,71,81,80,84,84,74,74,73,85,71,84,,,,,要実績照合,現役300名補充時の脚質暫定値。パリ〜ルーベ／ロンド個人成績の追加照合が必要,https://www.paris-roubaix.fr/en/history,能力・適性・Credit整合済,"公開プロフィール脚質「Classics specialist」を反映。同一テンプレートを廃止し、脚質別基準値＋選手名固定のばらつきで初期能力を分散。主要実績の追加照合が必要。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Florian_S%C3%A9n%C3%A9chal,,,,,,,,,Alpecin–Premier Tech,1993-07-10,現役確認済,2026 UCI WorldTeam名簿掲載,https://en.wikipedia.org/wiki/List_of_2026_UCI_WorldTeams_and_riders
54,Bauke Mollema,,,,オランダ,現役,総合型,スプリンター,80,76,山岳賞ハンター / スプリントトレイン / 山岳アシスト / 山岳番手 / ブレイクアウェイキラー / ポジションキーパー,,総合型 / スプリンター,8250,61,69,74,74,83,77,81,74,74,57,84,83,73,83,72,,,,,要実績照合,現役300名補充時の脚質暫定値。パリ〜ルーベ／ロンド個人成績の追加照合が必要,https://www.paris-roubaix.fr/en/history,能力・適性・Credit整合済,"公開プロフィール脚質「All-rounder」を反映。同一テンプレートを廃止し、脚質別基準値＋選手名固定のばらつきで初期能力を分散。主要実績の追加照合が必要。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Bauke_Mollema,,,,,,,,,Lidl–Trek,1986-11-26,現役確認済,2026 UCI WorldTeam名簿掲載,https://en.wikipedia.org/wiki/List_of_2026_UCI_WorldTeams_and_riders
55,Victor Campenaerts,,対象外,,ベルギー,現役,TT・ルーラー型,クラシック型,80,80,サブエース / スーパー・ドメスティーク / TTスペシャリスト / 平坦アシスト / 平坦ペースメーカー / ブレイクアウェイキラー / 超ロングスパート,,TT適性 / 巡航力 / 逃げ屋,7600,69,68,67,83,69,73,73,79,70,50,68,69,80,66,66,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Victor%20Campenaerts%20cyclist,0,0,0,0,0,1,ロード 金0/銀0/銅0、ITT 金0/銀0/銅1,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results,Visma–Lease a Bike,1991-10-28,現役確認済,2026 UCI WorldTeam名簿掲載,https://en.wikipedia.org/wiki/List_of_2026_UCI_WorldTeams_and_riders
56,Richard Carapaz,,対象外,,エクアドル,現役,総合型,クライマー,80,73,エース / 山岳賞ハンター / 山岳アシスト,,日別回復 / 登坂力 / ステージハンター,6500,57,69,72,70,79,77,72,68,68,50,81,82,67,76,69,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Richard%20Carapaz%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,,EF Education–EasyPost,1993-05-29,現役確認済,2026 UCI WorldTeam名簿掲載,https://en.wikipedia.org/wiki/List_of_2026_UCI_WorldTeams_and_riders
