no,name,rider_title,rider_title_eligibility,rider_title_basis,country,era,primary_archetype,secondary_archetype,ace_aptitude,support_aptitude,preferred_roles,specialist_role,aptitude_tags,credit_salary,sprint,acceleration,punch,cruise,climb,stamina,resistance,technique,bikeControl,pave,recovery,dailyRecovery,teamwork,ego,fighting,pave_best_result,pave_finishes,pave_top10s,pave_wins,pave_status,pave_basis,pave_source_url,rating_status,rating_basis,profile_url,world_road_gold,world_road_silver,world_road_bronze,world_itt_gold,world_itt_silver,world_itt_bronze,world_championship_basis,world_championship_source_url
35,Paolo Bettini,黄金のコオロギ,"Credit 10,000以上","Credit 11,000／パンチャー／クライマー／世界ロード金2",イタリア,近代,パンチャー,クライマー,91,64,エース / ステージハンター / 山岳賞ハンター / 逃げ屋,,パンチ力 / 登坂力,10300,71,78,82,67,74,74,75,77,78,50,73,73,62,82,82,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Paolo%20Bettini%20cyclist,2,1,0,0,0,0,ロード 金2/銀1/銅0、ITT 金0/銀0/銅0,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results
36,Julian Alaphilippe,虹色の踊り子,エース固有枠,丘陵エース／エース適性91／固有勝負手「踊り子の一撃」,フランス,現代,パンチャー,クライマー,91,67,エース / ステージハンター / 山岳賞ハンター / 下り牽引 / 逃げ屋 / 超ロングスパート,,パンチ力 / 登坂力 / ステージハンター,10000,69,76,80,66,73,71,70,74,75,50,72,72,58,80,80,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Julian%20Alaphilippe%20cyclist,2,0,0,0,0,0,ロード 金2/銀0/銅0、ITT 金0/銀0/銅0,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results
37,Simon Gerrans,,対象外,,オーストラリア,近代,パンチャー,クライマー,91,64,エース / ステージハンター / 山岳賞ハンター,,パンチ力 / 登坂力 / ステージハンター,9050,69,77,81,66,73,67,67,75,76,50,72,72,60,81,79,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Simon%20Gerrans%20cyclist,0,1,0,0,0,0,ロード 金0/銀1/銅0、ITT 金0/銀0/銅0,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results
38,Djamolidine Abdoujaparov,,対象外,,ウズベキスタン,近代,スプリンター,クラシック型,91,74,エース / リードアウト / 最終発射台,,最高速 / 瞬発力 / 攻撃的スプリント,8950,83,83,70,73,58,66,67,69,73,50,71,70,66,80,69,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Djamolidine%20Abdoujaparov%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,
39,Arnaud Demare,,対象外,,フランス,近代,スプリンター,クラシック型,91,74,エース / ステージハンター / リードアウト / 最終発射台 / 無賃乗車,,最高速 / 位置取り / クラシックスプリント,8850,83,82,70,72,58,66,66,72,73,73,70,70,65,79,68,12,4,0,0,結果照合済,最高12位 / 完走4回 / Top10 0回 / 優勝0回,https://bikeraceinfo.com/classics/paris-roubaix/pr2014.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Arnaud%20Demare%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,
40,Tom Boonen,石畳の竜巻,"Credit 10,000以上","Credit 12,000／クラシック型／パンチャー／世界ロード金1／パリ〜ルーベ優勝4",ベルギー,近代,クラシック型,パンチャー,90,73,エース / 石畳護衛 / 横風要員 / 逃げ屋 / ブリッジャー / 横風分断 / 無賃乗車,,バイクコントロール / 反復加速,10800,75,75,78,79,68,81,85,81,83,84,74,74,74,73,85,10,1,1,4,結果照合済,最高10位 / 完走1回 / Top10 1回 / 優勝4回 / ロンド優勝3回・加点+3・最低保証80,https://bikeraceinfo.com/classics/paris-roubaix/pr2014.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Tom%20Boonen%20cyclist,1,0,1,0,0,0,ロード 金1/銀0/銅1、ITT 金0/銀0/銅0,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results
41,Franco Ballerini,ルーベの紳士,著名実績枠,"Credit 8,500／クラシック型／TT・ルーラー型／パリ〜ルーベ優勝2",イタリア,近代,クラシック型,TT・ルーラー型,90,81,エース / 石畳護衛 / 横風要員 / 逃げ屋,,石畳 / 長距離耐久 / 巡航力,10600,74,73,76,80,67,79,81,80,80,83,72,72,77,72,80,1,0,0,2,結果照合済,最高1位 / 完走0回 / Top10 0回 / 優勝2回,https://www.paris-roubaix.fr/en/history,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Franco%20Ballerini%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,
42,Chris Boardman,クロノの教授,著名実績枠,"Credit 8,200／TT・ルーラー型／クラシック型／世界ITT金1",イギリス,近代,TT・ルーラー型,クラシック型,90,77,エース / TTスペシャリスト / 逃げ屋 / ポジションキーパー,,巡航力 / 悪路耐性,10450,69,68,68,84,69,78,78,81,72,50,71,71,79,71,69,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Chris%20Boardman%20cyclist,0,0,0,1,1,2,ロード 金0/銀0/銅0、ITT 金1/銀1/銅2,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results
43,Alejandro Valverde,不沈の緑弾,"Credit 10,000以上","Credit 10,500／パンチャー／クライマー／世界ロード金1",スペイン,近代,パンチャー,クライマー,90,65,エース / ステージハンター / 山岳賞ハンター / 逃げ屋,,パンチ力 / 登坂力,10200,72,77,82,67,74,72,72,77,77,50,73,73,61,80,84,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Alejandro%20Valverde%20cyclist,1,2,4,0,0,0,ロード 金1/銀2/銅4、ITT 金0/銀0/銅0,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results
44,Stijn Devolder,,対象外,,ベルギー,近代,クラシック型,TT・ルーラー型,90,81,エース / 石畳護衛 / 横風要員 / 逃げ屋 / ポジションキーパー,,石畳 / TT適性 / 単独走,9650,74,73,77,81,67,79,81,82,83,78,72,72,77,72,80,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認 / ロンド優勝2回・加点+2・最低保証78,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Stijn%20Devolder%20cyclist,0,0,0,0,0,0,ロード 金0/銀0/銅0、ITT 金0/銀0/銅0,
45,Rui Costa,雨中の世界王者,著名実績枠,"Credit 7,600／パンチャー／総合型／世界ロード金1",ポルトガル,近代,パンチャー,総合型,90,76,エース / ステージハンター / 集団コントローラー / 逃げ屋 / カウンターアタッカー,,パンチ力 / 戦術眼 / ステージハンター,9550,70,77,81,68,73,66,67,76,76,50,73,73,64,76,79,,0,0,0,要出走確認,1960〜2026完走順位との一致なし。未出走または表記差を要確認,https://bikeraceinfo.com/classics/paris-roubaix/paris-roubaix-index.html,能力・適性・Credit整合済,"世界選手権ロード・個人TT表彰台実績を補正後、能力別順位上限を適用（85は各能力最大2名・1選手最大2項目）。パヴェはパリ〜ルーベ主基準・ロンド優勝を加点＋最低保証。役割・戦術特性を単一カテゴリへ統合。エース適性降順、同点はCredit・15能力平均・選手名順でNo.を再採番。役割人数を300名内順位で制御（TTスペシャリスト20、TT牽引45、平坦アシスト60、横風要員35、逃げ屋50）。エース適性90以上は名称に「アシスト」を含む役割を付与しない。Remco Evenepoel、Wout van Aert、Mathieu van der Poelは超ロングスパート固定。能力値を偏差値型分布（中央値約70）へ再配分。Tadej Pogacarのみ特別枠、各能力85は1〜2名、その他は84以下。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数から算定。能力・適性整合: エース適性は従来評価70%＋主脚質能力20%＋負けん気・エゴ10%＋主要実績、アシスト適性は支援能力70%＋従来評価30%で再計算。Creditは適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。上位5名はゲーム内基準価格を適用。Credit再計算: 適性・主脚質能力・支援力・主要実績・85能力数・上位帯プレミアムから算定。ポガチャル20,000、ファンデルプール／ビンゲゴー13,000、ワウト／エベネプール12,500を上位基準価格として固定。エース適性42%・主脚質能力28%・アシスト適性12%・総合能力8%・主要実績6%・知名度4%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用。Credit全選手再査定: 現役・引退・区分保留の全選手を同一母集団で標準化。エース適性50%・主脚質能力20%・アシスト適性8%・総合能力5%・主要実績12%・知名度5%の合成順位を価格曲線へ変換し、上位5名は指定基準価格を適用",https://en.wikipedia.org/wiki/Special:Search?search=Rui%20Costa%20cyclist,1,0,0,0,0,0,ロード 金1/銀0/銅0、ITT 金0/銀0/銅0,https://www.uci.org/discipline/road/6TBjsDD8902tud440iv1Cu?discipline=ROA&tab=results
