stage,route,stageType,profile,team,phase,phaseLabel,rider,card,slot,cost,target,power,packageTotalEffect
1,Barcelona > Barcelona,チームTT,tt,Team 06,setup,展開形成,Luke Plapp,平坦牽引,basic,1,味方エース,2.444,11.371
1,Barcelona > Barcelona,チームTT,tt,Team 06,setup,展開形成,Arne Marit,平坦牽引,basic,1,味方エース,2.218,11.371
1,Barcelona > Barcelona,チームTT,tt,Team 06,setup,展開形成,Kamil Gradek,高速牽引,specialty,2,味方エース,4.635,11.371
1,Barcelona > Barcelona,チームTT,tt,Team 06,control,勝負所への運搬,Jasper Philipsen,巡航温存,basic,1,本人,2.233,11.371
1,Barcelona > Barcelona,チームTT,tt,Team 06,control,勝負所への運搬,Christophe Laporte,平坦牽引,basic,1,味方エース,2.253,11.371
1,Barcelona > Barcelona,チームTT,tt,Team 06,control,勝負所への運搬,Luke Plapp,平坦牽引,basic,1,味方エース,2.488,11.371
1,Barcelona > Barcelona,チームTT,tt,Team 06,control,勝負所への運搬,Arne Marit,平坦牽引,basic,1,味方エース,2.268,11.371
1,Barcelona > Barcelona,チームTT,tt,Team 06,control,勝負所への運搬,Kamil Gradek,平坦牽引,basic,1,味方エース,2.489,11.371
1,Barcelona > Barcelona,チームTT,tt,Team 06,decisive,決着,Luke Plapp,全開牽引,decisive,3,味方エース,7.225,11.371
1,Barcelona > Barcelona,チームTT,tt,Team 06,decisive,決着,Kamil Gradek,ローテーション牽引,specialty,2,味方エース,3.834,11.371
1,Barcelona > Barcelona,チームTT,tt,Team 07,setup,展開形成,Remco Evenepoel,高速巡航,specialty,2,本人,3.99,10.352
1,Barcelona > Barcelona,チームTT,tt,Team 07,setup,展開形成,Bert Van Lerberghe,平坦牽引,basic,1,味方エース,2.236,10.352
1,Barcelona > Barcelona,チームTT,tt,Team 07,setup,展開形成,Anders Halland Johannessen,高速牽引,specialty,2,味方エース,4.26,10.352
1,Barcelona > Barcelona,チームTT,tt,Team 07,control,勝負所への運搬,Remco Evenepoel,高速巡航,specialty,2,本人,4.317,10.352
1,Barcelona > Barcelona,チームTT,tt,Team 07,control,勝負所への運搬,Bert Van Lerberghe,平坦牽引,basic,1,味方エース,2.286,10.352
1,Barcelona > Barcelona,チームTT,tt,Team 07,control,勝負所への運搬,Anders Halland Johannessen,ローテーション牽引,specialty,2,味方エース,4.147,10.352
1,Barcelona > Barcelona,チームTT,tt,Team 07,decisive,決着,Remco Evenepoel,高速巡航,specialty,2,本人,3.543,10.352
1,Barcelona > Barcelona,チームTT,tt,Team 07,decisive,決着,Anders Halland Johannessen,全開牽引,decisive,3,味方エース,6.469,10.352
1,Barcelona > Barcelona,チームTT,tt,Team 08,setup,展開形成,Yves Lampaert,高速牽引,specialty,2,味方エース,4.44,10.431
1,Barcelona > Barcelona,チームTT,tt,Team 08,setup,展開形成,Mike Teunissen,前方誘導,basic,1,味方エース,1.287,10.431
1,Barcelona > Barcelona,チームTT,tt,Team 08,setup,展開形成,Jakob Söderqvist,高速牽引,specialty,2,味方エース,4.462,10.431
1,Barcelona > Barcelona,チームTT,tt,Team 08,control,勝負所への運搬,Yves Lampaert,ローテーション牽引,specialty,2,味方エース,4.317,10.431
1,Barcelona > Barcelona,チームTT,tt,Team 08,control,勝負所への運搬,Jakob Söderqvist,ローテーション牽引,specialty,2,味方エース,4.337,10.431
1,Barcelona > Barcelona,チームTT,tt,Team 08,control,勝負所への運搬,Jonas Rutsch,トラブル復帰,basic,1,味方エース,1.654,10.431
1,Barcelona > Barcelona,チームTT,tt,Team 08,decisive,決着,Lorenzo Rota,ブリッジ,specialty,2,本人,3.883,10.431
1,Barcelona > Barcelona,チームTT,tt,Team 08,decisive,決着,Jakob Söderqvist,全開牽引,decisive,3,味方エース,6.765,10.431
1,Barcelona > Barcelona,チームTT,tt,Team 09,setup,展開形成,Baptiste Veistroffer,平坦牽引,basic,1,味方エース,2.348,11.533
1,Barcelona > Barcelona,チームTT,tt,Team 09,setup,展開形成,Albert Withen Philipsen,高速牽引,specialty,2,味方エース,4.495,11.533
1,Barcelona > Barcelona,チームTT,tt,Team 09,setup,展開形成,Edward Theuns,平坦牽引,basic,1,味方エース,2.236,11.533
1,Barcelona > Barcelona,チームTT,tt,Team 09,setup,展開形成,Callum Thornley,平坦牽引,basic,1,味方エース,2.557,11.533
1,Barcelona > Barcelona,チームTT,tt,Team 09,control,勝負所への運搬,Filippo Ganna,巡航温存,basic,1,本人,2.462,11.533
1,Barcelona > Barcelona,チームTT,tt,Team 09,control,勝負所への運搬,Baptiste Veistroffer,平坦牽引,basic,1,味方エース,2.395,11.533
1,Barcelona > Barcelona,チームTT,tt,Team 09,control,勝負所への運搬,Albert Withen Philipsen,平坦牽引,basic,1,味方エース,2.424,11.533
1,Barcelona > Barcelona,チームTT,tt,Team 09,control,勝負所への運搬,Edward Theuns,平坦牽引,basic,1,味方エース,2.286,11.533
1,Barcelona > Barcelona,チームTT,tt,Team 09,control,勝負所への運搬,Callum Thornley,平坦牽引,basic,1,味方エース,2.598,11.533
1,Barcelona > Barcelona,チームTT,tt,Team 09,decisive,決着,Albert Withen Philipsen,全開牽引,decisive,3,味方エース,7.003,11.533
1,Barcelona > Barcelona,チームTT,tt,Team 09,decisive,決着,Callum Thornley,ローテーション牽引,specialty,2,味方エース,4.052,11.533
1,Barcelona > Barcelona,チームTT,tt,Team 10,setup,展開形成,Davide Ballerini,平坦牽引,basic,1,味方エース,2.213,10.343
1,Barcelona > Barcelona,チームTT,tt,Team 10,setup,展開形成,Edoardo Affini,高速牽引,specialty,2,味方エース,4.552,10.343
1,Barcelona > Barcelona,チームTT,tt,Team 10,setup,展開形成,Francesco Busatto,ローテーション牽引,specialty,2,味方エース,4.07,10.343
1,Barcelona > Barcelona,チームTT,tt,Team 10,control,勝負所への運搬,Davide Ballerini,平坦牽引,basic,1,味方エース,2.264,10.343
1,Barcelona > Barcelona,チームTT,tt,Team 10,control,勝負所への運搬,Edoardo Affini,ローテーション牽引,specialty,2,味方エース,4.422,10.343
1,Barcelona > Barcelona,チームTT,tt,Team 10,control,勝負所への運搬,Francesco Busatto,ローテーション牽引,specialty,2,味方エース,4.392,10.343
1,Barcelona > Barcelona,チームTT,tt,Team 10,decisive,決着,Edoardo Affini,高速再編,decisive,3,味方エース,5.965,10.343
1,Barcelona > Barcelona,チームTT,tt,Team 10,decisive,決着,Francesco Busatto,ローテーション牽引,specialty,2,味方エース,3.614,10.343
1,Barcelona > Barcelona,チームTT,tt,Team 11,setup,展開形成,Bob Jungels,平坦牽引,basic,1,味方エース,2.448,11.517
1,Barcelona > Barcelona,チームTT,tt,Team 11,setup,展開形成,Nils Politt,平坦牽引,basic,1,味方エース,2.425,11.517
1,Barcelona > Barcelona,チームTT,tt,Team 11,setup,展開形成,Julius van den Berg,平坦牽引,basic,1,味方エース,2.232,11.517
1,Barcelona > Barcelona,チームTT,tt,Team 11,setup,展開形成,Bart Lemmen,高速牽引,specialty,2,味方エース,4.661,11.517
1,Barcelona > Barcelona,チームTT,tt,Team 11,control,勝負所への運搬,Tim Merlier,巡航温存,basic,1,本人,2.2,11.517
1,Barcelona > Barcelona,チームTT,tt,Team 11,control,勝負所への運搬,Bob Jungels,平坦牽引,basic,1,味方エース,2.492,11.517
1,Barcelona > Barcelona,チームTT,tt,Team 11,control,勝負所への運搬,Nils Politt,平坦牽引,basic,1,味方エース,2.47,11.517
1,Barcelona > Barcelona,チームTT,tt,Team 11,control,勝負所への運搬,Julius van den Berg,平坦牽引,basic,1,味方エース,2.282,11.517
1,Barcelona > Barcelona,チームTT,tt,Team 11,control,勝負所への運搬,Bart Lemmen,平坦牽引,basic,1,味方エース,2.501,11.517
1,Barcelona > Barcelona,チームTT,tt,Team 11,decisive,決着,Bob Jungels,ローテーション牽引,specialty,2,味方エース,3.841,11.517
1,Barcelona > Barcelona,チームTT,tt,Team 11,decisive,決着,Bart Lemmen,全開牽引,decisive,3,味方エース,7.253,11.517
1,Barcelona > Barcelona,チームTT,tt,Team 12,setup,展開形成,Jorge Arcas,逃げ吸収,specialty,2,味方エース,3.755,10.394
1,Barcelona > Barcelona,チームTT,tt,Team 12,setup,展開形成,Darren Rafferty,平坦牽引,basic,1,味方エース,2.161,10.394
1,Barcelona > Barcelona,チームTT,tt,Team 12,setup,展開形成,Artem Shmidt,高速牽引,specialty,2,味方エース,4.652,10.394
1,Barcelona > Barcelona,チームTT,tt,Team 12,control,勝負所への運搬,Jorge Arcas,逃げ吸収,specialty,2,味方エース,3.545,10.394
1,Barcelona > Barcelona,チームTT,tt,Team 12,control,勝負所への運搬,Darren Rafferty,平坦牽引,basic,1,味方エース,2.213,10.394
1,Barcelona > Barcelona,チームTT,tt,Team 12,control,勝負所への運搬,Artem Shmidt,ローテーション牽引,specialty,2,味方エース,4.517,10.394
1,Barcelona > Barcelona,チームTT,tt,Team 12,decisive,決着,Jorge Arcas,逃げ吸収,specialty,2,味方エース,3.334,10.394
1,Barcelona > Barcelona,チームTT,tt,Team 12,decisive,決着,Artem Shmidt,全開牽引,decisive,3,味方エース,7.042,10.394
1,Barcelona > Barcelona,チームTT,tt,Team 13,setup,展開形成,Dylan van Baarle,ローテーション牽引,specialty,2,味方エース,4.136,9.955
1,Barcelona > Barcelona,チームTT,tt,Team 13,setup,展開形成,Dries Van Gestel,ブリッジ,specialty,2,本人,3.082,9.955
1,Barcelona > Barcelona,チームTT,tt,Team 13,setup,展開形成,Gerben Thijssen,平坦牽引,basic,1,味方エース,2.29,9.955
1,Barcelona > Barcelona,チームTT,tt,Team 13,control,勝負所への運搬,Amanuel Ghebreigzabhier,トラブル復帰,basic,1,味方エース,1.749,9.955
1,Barcelona > Barcelona,チームTT,tt,Team 13,control,勝負所への運搬,Dylan van Baarle,ローテーション牽引,specialty,2,味方エース,4.455,9.955
1,Barcelona > Barcelona,チームTT,tt,Team 13,control,勝負所への運搬,Dries Van Gestel,追走補助,basic,1,味方エース,1.385,9.955
1,Barcelona > Barcelona,チームTT,tt,Team 13,control,勝負所への運搬,Gerben Thijssen,平坦牽引,basic,1,味方エース,2.338,9.955
1,Barcelona > Barcelona,チームTT,tt,Team 13,decisive,決着,Dylan van Baarle,石畳の追撃,decisive,3,味方エース,6.699,9.955
1,Barcelona > Barcelona,チームTT,tt,Team 13,decisive,決着,Dries Van Gestel,ブリッジ,specialty,2,本人,3.524,9.955
1,Barcelona > Barcelona,チームTT,tt,Team 14,setup,展開形成,Anton Kuzmin,高速牽引,specialty,2,味方エース,4.379,10.801
1,Barcelona > Barcelona,チームTT,tt,Team 14,setup,展開形成,Johan Jacobs,平坦牽引,basic,1,味方エース,2.195,10.801
1,Barcelona > Barcelona,チームTT,tt,Team 14,setup,展開形成,Adrien Boichis,高速牽引,specialty,2,味方エース,4.609,10.801
1,Barcelona > Barcelona,チームTT,tt,Team 14,control,勝負所への運搬,Anton Kuzmin,ローテーション牽引,specialty,2,味方エース,4.259,10.801
1,Barcelona > Barcelona,チームTT,tt,Team 14,control,勝負所への運搬,Johan Jacobs,平坦牽引,basic,1,味方エース,2.247,10.801
1,Barcelona > Barcelona,チームTT,tt,Team 14,control,勝負所への運搬,Adrien Boichis,ローテーション牽引,specialty,2,味方エース,4.476,10.801
1,Barcelona > Barcelona,チームTT,tt,Team 14,decisive,決着,Anton Kuzmin,ローテーション牽引,specialty,2,味方エース,3.489,10.801
1,Barcelona > Barcelona,チームTT,tt,Team 14,decisive,決着,Adrien Boichis,全開牽引,decisive,3,味方エース,6.98,10.801
1,Barcelona > Barcelona,チームTT,tt,Team 15,setup,展開形成,Jonathan Milan,巡航温存,basic,1,本人,1.668,9.677
1,Barcelona > Barcelona,チームTT,tt,Team 15,setup,展開形成,Ethan Hayter,高速牽引,specialty,2,味方エース,4.786,9.677
1,Barcelona > Barcelona,チームTT,tt,Team 15,setup,展開形成,Henri-François Renard-Haquin,安全誘導,basic,1,味方エース,1.264,9.677
1,Barcelona > Barcelona,チームTT,tt,Team 15,setup,展開形成,Lars Craps,トラブル復帰,basic,1,味方エース,1.114,9.677
1,Barcelona > Barcelona,チームTT,tt,Team 15,control,勝負所への運搬,Jonathan Milan,巡航温存,basic,1,本人,2.171,9.677
1,Barcelona > Barcelona,チームTT,tt,Team 15,control,勝負所への運搬,Ethan Hayter,ローテーション牽引,specialty,2,味方エース,4.643,9.677
1,Barcelona > Barcelona,チームTT,tt,Team 15,control,勝負所への運搬,Alexander Hajek,トラブル復帰,basic,1,味方エース,1.649,9.677
1,Barcelona > Barcelona,チームTT,tt,Team 15,control,勝負所への運搬,Lars Craps,トラブル復帰,basic,1,味方エース,1.633,9.677
1,Barcelona > Barcelona,チームTT,tt,Team 15,decisive,決着,Jonathan Milan,高速リードアウト,specialty,2,味方エース,2.896,9.677
1,Barcelona > Barcelona,チームTT,tt,Team 15,decisive,決着,Ethan Hayter,高速発射,decisive,3,味方エース,6.971,9.677
1,Barcelona > Barcelona,チームTT,tt,Team 16,setup,展開形成,Olav Kooij,巡航温存,basic,1,本人,1.656,10.495
1,Barcelona > Barcelona,チームTT,tt,Team 16,setup,展開形成,Stefan Bissegger,高速牽引,specialty,2,味方エース,4.72,10.495
1,Barcelona > Barcelona,チームTT,tt,Team 16,setup,展開形成,Jakob Omrzel,逃げ吸収,specialty,2,味方エース,3.688,10.495
1,Barcelona > Barcelona,チームTT,tt,Team 16,control,勝負所への運搬,Olav Kooij,巡航温存,basic,1,本人,2.16,10.495
1,Barcelona > Barcelona,チームTT,tt,Team 16,control,勝負所への運搬,Stefan Bissegger,ローテーション牽引,specialty,2,味方エース,4.581,10.495
1,Barcelona > Barcelona,チームTT,tt,Team 16,control,勝負所への運搬,Axel Laurance,ペース調整,basic,1,逃げ集団,2.109,10.495
1,Barcelona > Barcelona,チームTT,tt,Team 16,control,勝負所への運搬,Joseph Blackmore,トラブル復帰,basic,1,味方エース,1.679,10.495
1,Barcelona > Barcelona,チームTT,tt,Team 16,decisive,決着,Stefan Bissegger,横風エンジン,decisive,3,味方エース,6.903,10.495
1,Barcelona > Barcelona,チームTT,tt,Team 16,decisive,決着,Axel Laurance,ブリッジ,specialty,2,本人,3.809,10.495
1,Barcelona > Barcelona,チームTT,tt,Team 17,setup,展開形成,Michał Kwiatkowski,安全誘導,basic,1,味方エース,1.359,9.049
1,Barcelona > Barcelona,チームTT,tt,Team 17,setup,展開形成,Gil Gelders,隊列再編,specialty,2,味方チーム,2.623,9.049
1,Barcelona > Barcelona,チームTT,tt,Team 17,setup,展開形成,Liam Slock,高速牽引,specialty,2,味方エース,4.644,9.049
1,Barcelona > Barcelona,チームTT,tt,Team 17,control,勝負所への運搬,Michał Kwiatkowski,ダウンヒル牽引,specialty,2,味方エース,2.363,9.049
1,Barcelona > Barcelona,チームTT,tt,Team 17,control,勝負所への運搬,Adrià Pericas,トラブル復帰,basic,1,味方エース,1.645,9.049
1,Barcelona > Barcelona,チームTT,tt,Team 17,control,勝負所への運搬,Liam Slock,ローテーション牽引,specialty,2,味方エース,4.509,9.049
1,Barcelona > Barcelona,チームTT,tt,Team 17,decisive,決着,Arnaud De Lie,車輪キープ,basic,1,本人,1.545,9.049
1,Barcelona > Barcelona,チームTT,tt,Team 17,decisive,決着,Adrià Pericas,トラブル復帰,basic,1,味方エース,1.064,9.049
1,Barcelona > Barcelona,チームTT,tt,Team 17,decisive,決着,Liam Slock,全開牽引,decisive,3,味方エース,7.029,9.049
1,Barcelona > Barcelona,チームTT,tt,Team 18,setup,展開形成,Davide Piganzoli,高速牽引,specialty,2,味方エース,4.574,11.258
1,Barcelona > Barcelona,チームTT,tt,Team 18,setup,展開形成,Felix Engelhardt,平坦牽引,basic,1,味方エース,2.42,11.258
1,Barcelona > Barcelona,チームTT,tt,Team 18,setup,展開形成,Alec Segaert,高速牽引,specialty,2,味方エース,4.678,11.258
1,Barcelona > Barcelona,チームTT,tt,Team 18,control,勝負所への運搬,Davide Piganzoli,平坦牽引,basic,1,味方エース,2.461,11.258
1,Barcelona > Barcelona,チームTT,tt,Team 18,control,勝負所への運搬,Felix Engelhardt,ローテーション牽引,specialty,2,味方エース,4.45,11.258
1,Barcelona > Barcelona,チームTT,tt,Team 18,control,勝負所への運搬,Alec Segaert,ローテーション牽引,specialty,2,味方エース,4.542,11.258
1,Barcelona > Barcelona,チームTT,tt,Team 18,decisive,決着,Filippo Conca,逃げ吸収,specialty,2,味方エース,3.769,11.258
1,Barcelona > Barcelona,チームTT,tt,Team 18,decisive,決着,Davide Piganzoli,全開牽引,decisive,3,味方エース,7.13,11.258
1,Barcelona > Barcelona,チームTT,tt,Team 19,setup,展開形成,Magnus Sheffield,平坦牽引,basic,1,味方エース,2.436,11.476
1,Barcelona > Barcelona,チームTT,tt,Team 19,setup,展開形成,Alessandro Covi,平坦牽引,basic,1,味方エース,2.46,11.476
1,Barcelona > Barcelona,チームTT,tt,Team 19,setup,展開形成,Casper van Uden,平坦牽引,basic,1,味方エース,2.263,11.476
1,Barcelona > Barcelona,チームTT,tt,Team 19,setup,展開形成,Christopher Juul-Jensen,高速牽引,specialty,2,味方エース,4.651,11.476
1,Barcelona > Barcelona,チームTT,tt,Team 19,control,勝負所への運搬,Magnus Sheffield,平坦牽引,basic,1,味方エース,2.48,11.476
1,Barcelona > Barcelona,チームTT,tt,Team 19,control,勝負所への運搬,Alessandro Covi,ローテーション牽引,specialty,2,味方エース,4.529,11.476
1,Barcelona > Barcelona,チームTT,tt,Team 19,control,勝負所への運搬,Casper van Uden,平坦牽引,basic,1,味方エース,2.313,11.476
1,Barcelona > Barcelona,チームTT,tt,Team 19,control,勝負所への運搬,Christopher Juul-Jensen,平坦牽引,basic,1,味方エース,2.497,11.476
1,Barcelona > Barcelona,チームTT,tt,Team 19,decisive,決着,Magnus Sheffield,ローテーション牽引,specialty,2,味方エース,3.819,11.476
1,Barcelona > Barcelona,チームTT,tt,Team 19,decisive,決着,Christopher Juul-Jensen,全開牽引,decisive,3,味方エース,7.242,11.476
1,Barcelona > Barcelona,チームTT,tt,Team 20,setup,展開形成,Biniam Girmay,巡航温存,basic,1,本人,1.658,10.155
1,Barcelona > Barcelona,チームTT,tt,Team 20,setup,展開形成,Gonzalo Serrano,ブリッジ,specialty,2,本人,3.093,10.155
1,Barcelona > Barcelona,チームTT,tt,Team 20,setup,展開形成,Casper Pedersen,高速牽引,specialty,2,味方エース,4.661,10.155
1,Barcelona > Barcelona,チームTT,tt,Team 20,control,勝負所への運搬,Biniam Girmay,巡航温存,basic,1,本人,2.161,10.155
1,Barcelona > Barcelona,チームTT,tt,Team 20,control,勝負所への運搬,Iván García Cortina,トラブル復帰,basic,1,味方エース,1.697,10.155
1,Barcelona > Barcelona,チームTT,tt,Team 20,control,勝負所への運搬,Lennert Belmans,トラブル復帰,basic,1,味方エース,1.617,10.155
1,Barcelona > Barcelona,チームTT,tt,Team 20,control,勝負所への運搬,Casper Pedersen,ローテーション牽引,specialty,2,味方エース,4.525,10.155
1,Barcelona > Barcelona,チームTT,tt,Team 20,decisive,決着,Gonzalo Serrano,ブリッジ,specialty,2,本人,3.619,10.155
1,Barcelona > Barcelona,チームTT,tt,Team 20,decisive,決着,Casper Pedersen,全開牽引,decisive,3,味方エース,7.053,10.155
2,Tarragona > Barcelona,丘陵,hill,Team 01,setup,展開形成,Mads Pedersen,丘陵加速,specialty,2,本人,4.225,9.028
2,Tarragona > Barcelona,丘陵,hill,Team 01,setup,展開形成,Arjen Livyns,位置引き上げ,basic,1,味方エース,1.779,9.028
2,Tarragona > Barcelona,丘陵,hill,Team 01,setup,展開形成,Jonas Rickaert,坂前誘導,specialty,2,味方エース,3.264,9.028
2,Tarragona > Barcelona,丘陵,hill,Team 01,control,勝負所への運搬,Mads Pedersen,丘陵加速,specialty,2,本人,3.988,9.028
2,Tarragona > Barcelona,丘陵,hill,Team 01,control,勝負所への運搬,Ilan Van Wilder,山岳ペースアップ,specialty,2,味方エース,2.843,9.028
2,Tarragona > Barcelona,丘陵,hill,Team 01,control,勝負所への運搬,Arjen Livyns,丘陵牽引,basic,1,味方エース,2.104,9.028
2,Tarragona > Barcelona,丘陵,hill,Team 01,decisive,決着,Mads Pedersen,丘陵加速,specialty,2,本人,4.452,9.028
2,Tarragona > Barcelona,丘陵,hill,Team 01,decisive,決着,Arjen Livyns,丘陵封鎖,decisive,3,味方エース,4.504,9.028
